Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,5.4,12.2,8.7,7.7,10.1,12.5,16.2,15.8,18.4,11.9,10,3.1
2,10.1,8.2,5.6,10.9,12.5,10.8,15.3,17.7,17.2,11.7,5.6,6.9
3,8.2,5.1,6.4,11.5,10.8,10.9,16.7,19.7,17.1,11,6.3,5.9
4,8.2,9.5,5.2,10.8,12.8,15.2,17.3,18.3,17.9,14.1,8.5,4
5,8.5,10.3,2.9,11.4,14.3,16.8,17.4,18.8,18.3,13.4,5.7,3.5
6,7.2,10.5,3.1,8.9,15.7,17.4,16.9,19.4,21.3,12.1,4.2,7.8
7,7.2,7.5,3.6,7.5,18.3,18.3,19.3,21,22.6,13,5.5,11.8
8,6.1,7.9,4.1,8.9,20.1,18.3,19,17.6,19.5,13.5,3.2,12.1
9,9.1,5.4,7.8,8.7,18.5,16.4,19.3,15.8,18.3,11.2,6.5,12.5
10,6.5,5.5,6.5,7.6,15.9,18.3,18.9,15.3,17.4,9.7,7,12
11,6.4,3.7,5.2,11.7,16.6,18.3,17.8,18.1,14.9,10.4,6,7.3
12,5.3,4.2,6.8,12.3,17.8,17,15.3,20.2,17,11.9,9.1,8.3
13,4.9,3.5,5.3,11.7,13.1,16.1,14.8,19.6,24.8,10.5,7.6,11.3
14,3.5,3.5,6.4,13.1,10.5,15.7,16.2,19.2,23.1,11.3,10.1,10.5
15,2.5,2.8,6.1,9.9,12.5,16.4,16.6,17.6,22.1,12.3,14.4,9.1
16,1.9,3,6.9,5.9,13.9,15.8,21.2,17.5,16.3,13.1,12.7,10
17,2.6,4.9,6.1,6.7,13.8,15.3,22.2,18.9,14.3,13.1,9.2,7.5
18,3.1,4.1,4.8,9,12.5,14.3,23.2,19,16.4,11.1,5.3,7.8
19,-0.9,5.6,6.6,11.3,13.7,16.7,25.1,17.7,16.9,10.9,4.8,6.7
20,0.2,10.5,7.2,9.1,15.7,17.4,24.3,17,16,11,7.2,6.1
21,3.3,12.8,8.2,10.3,15.3,18.2,19.9,17.8,17.5,10.3,9.6,9.6
22,7.5,8.5,7.8,8.4,14.8,18.4,19.8,19.7,16.8,9.9,9.9,6.8
23,7.9,5.1,8.1,6.7,14.6,19.6,21.9,22.3,14.7,9.5,8,9.2
24,12.4,1.8,8.5,6.5,12.4,17.8,20.4,24.1,18,10.9,9.3,8.2
25,11.6,1.5,10.5,7.4,10.4,16.1,19.6,22.5,17.3,10.7,7.2,11.8
26,9.6,3.4,9.9,5.3,14.4,15.8,19,21.4,14.1,13,5.9,7.3
27,11.8,3.9,8.4,6.4,15.4,17.4,19.4,20.4,15.7,12.2,7.1,2.3
28,6.6,4.3,8.5,7.4,14.6,15.8,18.2,19.2,17.1,13.8,5.8,1.1
29,11.2,5,8,8,13.5,14.7,18.8,18.3,16.8,13.5,1.4,2.5
30,7.6,,8.3,7.9,13.8,16.9,18.3,19.3,14.3,10.9,1.1,3.6
31,9,,8.1,,12,,17.8,18.2,,13.1,,7.3
